epoch,revenue,broker_num,mer,fund,Rank
213,2654.550000,20,0.149596,6300000,1
214,2736.450000,20,0.149596,6300000,1
215,2619.200000,20,0.149596,6300000,1
216,2681.650000,20,0.149596,6300000,1
217,2771.750000,20,0.149596,6300000,1
218,2627.300000,20,0.149596,6300000,1
219,2614.400000,20,0.149596,6300000,1
220,2772.500000,20,0.149596,6300000,1
221,2592.550000,20,0.149596,6300000,1
222,2730.600000,20,0.149596,6300000,1
223,2734.650000,20,0.149596,6300000,1
224,2774.300000,20,0.149596,6300000,1
225,2769.600000,20,0.149596,6300000,1
226,2577.250000,20,0.149596,6300000,1
227,2617.750000,20,0.149596,6300000,1
228,2746.150000,20,0.149596,6300000,1
229,2774.950000,20,0.149596,6300000,1
230,2754.250000,20,0.149596,6300000,1
231,2609.150000,20,0.149596,6300000,1
232,2661.550000,20,0.149596,6300000,1
233,2750.750000,20,0.149596,6300000,1
234,2620.350000,20,0.149596,6300000,1
235,2600.000000,20,0.149596,6300000,1
236,2799.950000,20,0.149596,6300000,1
237,2758.600000,20,0.149596,6300000,1
238,2601.300000,20,0.149596,6300000,1
239,2646.450000,20,0.149596,6300000,1
240,2736.800000,20,0.149596,6300000,1
241,2768.350000,20,0.149596,6300000,1
242,2801.950000,20,0.149596,6300000,1
243,2630.350000,20,0.149596,6300000,1
244,2588.950000,20,0.149596,6300000,1
245,2749.850000,20,0.149596,6300000,1
246,2780.750000,20,0.149596,6300000,1
247,2764.400000,20,0.149596,6300000,1
248,2583.350000,20,0.149596,6300000,1
249,2593.100000,20,0.149596,6300000,1
250,2771.850000,20,0.149596,6300000,1
251,2636.300000,20,0.149596,6300000,1
252,2608.800000,20,0.149596,6300000,1
253,2780.500000,20,0.149596,6300000,1
254,2779.700000,20,0.149596,6300000,1
255,2717.300000,20,0.149596,6300000,1
256,2586.750000,20,0.149596,6300000,1
257,2810.550000,20,0.149596,6300000,1
258,2789.100000,20,0.149596,6300000,1
259,2599.600000,20,0.149596,6300000,1
260,2602.350000,20,0.149596,6300000,1
261,2711.000000,20,0.149596,6300000,1
262,2751.100000,20,0.149596,6300000,1
263,2765.400000,20,0.149596,6300000,1
264,2621.550000,20,0.149596,6300000,1
265,2770.150000,20,0.149596,6300000,1
266,2645.650000,20,0.149596,6300000,1
267,2815.450000,20,0.149596,6300000,1
268,2655.850000,20,0.149596,6300000,1
269,2638.200000,20,0.149596,6300000,1
270,2662.600000,20,0.149596,6300000,1
271,2770.900000,20,0.149596,6300000,1
272,2645.650000,20,0.149596,6300000,1
273,2793.200000,20,0.149596,6300000,1
274,2710.650000,20,0.149596,6300000,1
275,2720.850000,20,0.149596,6300000,1
276,2810.600000,20,0.149596,6300000,1
277,2748.000000,20,0.149596,6300000,1
278,2777.050000,20,0.149596,6300000,1
279,2757.500000,20,0.149596,6300000,1
280,2746.450000,20,0.149596,6300000,1
281,2669.350000,20,0.149596,6300000,1
282,2632.450000,20,0.149596,6300000,1
283,2596.000000,20,0.149596,6300000,1
284,2610.000000,20,0.149596,6300000,1
285,2726.250000,20,0.149596,6300000,1
286,2778.600000,20,0.149596,6300000,1
287,2805.450000,20,0.149596,6300000,1
288,2749.250000,20,0.149596,6300000,1
289,2609.300000,20,0.149596,6300000,1
290,2587.200000,20,0.149596,6300000,1
291,2756.950000,20,0.149596,6300000,1
292,2595.000000,20,0.149596,6300000,1
293,2622.350000,20,0.149596,6300000,1
294,2707.800000,20,0.149596,6300000,1
295,2772.350000,20,0.149596,6300000,1
296,2616.400000,20,0.149596,6300000,1
297,2565.400000,20,0.149596,6300000,1
298,2679.950000,20,0.149596,6300000,1
299,2722.950000,20,0.149596,6300000,1
300,2770.350000,20,0.149596,6300000,1epoch,revenue,broker_num,mer,fund,Rank
1,331.300000,0,0.200000,300000,13
2,1672.900000,4,0.050000,1500000,9
3,3042.400000,10,0.050000,3300000,3
4,2364.200000,8,0.130368,2700000,4
5,3041.500000,8,0.050000,2700000,4
6,4264.100000,13,0.050000,4200000,1
7,4444.600000,14,0.143369,4500000,1
8,4264.900000,13,0.223357,4200000,1
9,2789.800000,11,0.305692,3600000,1
10,1092.200000,4,0.391343,1500000,9
11,1280.100000,5,0.219730,1800000,8
12,2717.400000,7,0.050000,2400000,5
13,3579.800000,14,0.050000,4500000,1
14,2438.800000,10,0.133259,3300000,3
15,1453.700000,6,0.050000,2100000,7
16,1453.700000,6,0.050000,2100000,7
17,1441.800000,6,0.050000,2100000,7
18,1458.500000,6,0.050000,2100000,7
19,1051.600000,8,0.050000,967735,4
